Minister,Date,Name of External Organisation,Purpose of meeting
"Prime Minister, The Rt Hon David Cameron MP","August, 2010",East End Foods,To discuss economic development and other local issues
,"August, 2010","Stephen Green, Chairman of HSBC",To discuss economic issues
,"September, 2010","Stephen Green, Chairman of HSBC",To discuss economic issues
,"September, 2010",Ford,To discuss business and economic issues
,"September, 2010",Brooke Kinsella,To discuss criminal justice
,,,
"NOTE   Does not normally include meetings with Government bodies such as other Government Departments, NDPBs, Non - Ministerial Departments, Agencies, Government reviews and representatives of devolved or foreign governments",,,
