Minister,Date,Name of Organisation,Purpose of meeting
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Dec-12,"Alan Rusbridger - Guardian,James Harding - The Times,Tony Gallagher - Telegraph,Lord Black – Telegraph,Lionel Barber - Financial Times,Chris Blackhurst - Independent,Peter Wright - Associated,Sarah Sands - Evening Standard,Dominic Mohan - The Sun,Paul Ashford - Northern & Shell,John Witherow - Sunday Times,Lloyd Embley - Trinity Mirror,Lord Hunt – Press Complaints Commission,Geordie Grieg - Mail on Sunday,John Mullin - Independent on Sunday,Ian MacGregor - Sunday Telegraph,John Micklethwait - The Economist,Fraser Nelson - The Spectator,Bob Satchwell - Society of Editors",To discuss Leveson Implementation
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Dec-12,James Harding – The Times,To discuss Leveson Implementation
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Dec-12,Alan Rusbridger – The Guardian,To discuss Leveson Implementation
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Dec-12,"Lord Black - Telegraph,Chris Blackhurst - Independent,Paul Dacre - Associated,Tony Gallagher - Telegraph,Lord Hunt – Press Complaints Commission,Gareth Morgan - Northern & Shell,David Newell - Newspaper Society,Paul Vickers - Trinity Mirror,John Witherow  - News International,Michael McManus – Press Complaints Commission",To discuss Leveson Implementation
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Dec-12,Hacked Off,To discuss Leveson Implementation
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Dec-12,Localis,Local Government Policy
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Dec-12,"Lord Hunt – Press Complaints Commission,Lord Black - Telegraph,David Newell  - Newspaper Society,Paul Vickers - Trinity Mirror,Peter Wright - Associated,John Witherow - News International",To discuss Leveson Implementation
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Dec-12,The Times,Social Care Policy
"Minister of State, David Laws MP",Oct-12,The Resolution Foundation,Discussion on report on living standards
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Oct-12,Big Society Network,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Oct-12,Birmingham Voluntary Service Council,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Oct-12,Rockcorps,NCS
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Oct-12,Future First,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Oct-12,"Roundtable with: National Children’s Bureau, Children England, FPI  and NCVYS",Social Finance
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Oct-12,Community Foundation Network,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Oct-12,Local Giving,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Oct-12,Panel on the Independence of the Voluntary Sector,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Oct-12,Kevin Godlington,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Oct-12,#wewillgather,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Oct-12,"Housing Association Roundtable with: Accord; Amicus Horizon, Aspire, Circle, Cross Keys, Family Mosaic, Helena Partnerships, InCommunities,Jephson, Orbit, Sanctuary, Shepherds Bush Housing Group, South Yorkshire Housing Association, Three Rivers, Westlea Housing, National Housing Federation",Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Oct-12,Tomorrow’s People,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Oct-12,Tearfund,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Oct-12,Southend Community Fund,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Oct-12,Join In,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Oct-12,Lord Stone of Blackheath,Charities
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Oct-12,Kings College Hospital NHS Foundation Trust,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Oct-12,Tsu’Chu Biz Foundation,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Oct-12,Young Charity Trustees,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Oct-12,CAN,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Oct-12,The Challenge Network,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Nov-12,"Roundtable with: Big Society Capital , British Venture Capital Association, UKTI, Bates Wells & Braithwaite,",Social Investment
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Nov-12,Kent County Council,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Nov-12,Locality,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Nov-12,National Housing Federation,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Nov-12,Mencap,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Nov-12,Greater London Authority,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Nov-12,"Manchester City Council, Birmingham City Council, Essex County Council, Leicestershire County Council, Hammersmith & Fulham Council",Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Nov-12,Rockcorps,NCS
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Nov-12,Mind,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Nov-12,The FSE Group,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Nov-12,Councillor John Meikle,NCS
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Nov-12,Big Society Capital,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Nov-12,Reward your World,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Nov-12,iVolunteer,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Nov-12,Charitable Futures,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Nov-12,Youthnet,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Nov-12,Directory for Social Change,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Nov-12,UpRising,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Dec-12,Locality,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Dec-12,Living Well Trust,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Dec-12,Business in the Community,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Dec-12,Join In,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Dec-12,Sports Leaders UK,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Dec-12,Free the Children UK,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Dec-12,Community Development Foundation,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Dec-12,"Big Society Network, Les Mills and Sport Inspired",Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Dec-12,3SC,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Dec-12,Giles Gibbons,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Dec-12,Ipsos Mori,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Dec-12,Ahead Partnership,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Dec-12,Stephen McPartland MP and constituents,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Dec-12,PRIME,Big Society Policy
