Minister,Date,Name of Organisation,Purpose of meeting,,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",June 2011,"The Work Foundation, CentreForum, Demos, Respublica, IPPR, Reform, New Economics Foundation, Policy Exchange, Localis, Centre for Cities, Politeia",Public Service modernisation,,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",June 2011,Royal Academy of Engineering,Engineering,,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",June 2011,EDF Energy,Energy,,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",June 2011,National Grid,Electricity Market reform,,
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",June 2011,Brickcourt Chambers,Green Paper on Justice and Security,,
"Minister for Civil Society, Nick Hurd",April 2011,ACEVO,Big Society Policy,,
"Minister for Civil Society, Nick Hurd",April 2011,NCVO,Big Society Policy,,
"Minister for Civil Society, Nick Hurd",April 2011,NAVCA,Big Society Policy,,
"Minister for Civil Society, Nick Hurd",April 2011,Social Enterprise Coalition,Big Society Policy,,
"Minister for Civil Society, Nick Hurd",April 2011,Community Matters,Big Society Policy,,
"Minister for Civil Society, Nick Hurd",April 2011,Locality,Big Society Policy,,
"Minister for Civil Society, Nick Hurd",April 2011,Cruse Bereavement Care,Big Society Policy,,
"Minister for Civil Society, Nick Hurd",April 2011,CIOT,Big Society Policy,,
"Minister for Civil Society, Nick Hurd",April 2011,Lord Lieutenant David Briggs,Voluntary Sector,,
"Minister for Civil Society, Nick Hurd",April 2011,ICG,Big Society Policy,,
"Minister for Civil Society, Nick Hurd",April 2011,Private Equity Foundation,Big Society Policy,,
"Minister for Civil Society, Nick Hurd",May 2011,Fast Track Agency,Big Society Policy,,
"Minister for Civil Society, Nick Hurd",May 2011,Craig Whittaker MP and Constituents,The Voluntary Sector within their Constituency,,
"Minister for Civil Society, Nick Hurd",May 2011,Zopa,Big Society Policy,,
"Minister for Civil Society, Nick Hurd",May 2011,Rob Wilson MP and Constituents,The Voluntary Sector within their Constituency,,
"Minister for Civil Society, Nick Hurd",May 2011,Training for Life,Big Society Policy ,,
"Minister for Civil Society, Nick Hurd",May 2011,Gordon Henderson MP and Constituents,The Voluntary Sector within their constituency,,
"Minister for Civil Society, Nick Hurd",May 2011,Big Society Capital,Big Society Policy,,
"Minister for Civil Society, Nick Hurd",May 2011,Marie Curie Cancer Care,Big Society Policy,,
"Minister for Civil Society, Nick Hurd",May 2011,British Inspirational Trust,Big Society Policy,,
"Minister for Civil Society, Nick Hurd",May 2011,Royal Horticultural Society,Big Society Policy,,
"Minister for Civil Society, Nick Hurd",May 2011,Richard Benyon MP and Constituents,The Voluntary Sector within their Constituency,,
"Minister for Civil Society, Nick Hurd",May 2011,Islington Giving,Big Society Policy,,
"Minister for Civil Society, Nick Hurd",May 2011,Eden Project and Message Trust,Big Society Policy,,
"Minister for Civil Society, Nick Hurd",May 2011,David Rutley MP and Constituents,Big Society Policy,,
"Minister for Civil Society, Nick Hurd",May 2011,Aidan Burley MP and constituents,Big Society Policy,,
"Minister for Civil Society, Nick Hurd",May 2011,SERCO,Big Society Policy,,
"Minister for Civil Society, Nick Hurd",May 2011,Youth Utd,Big Society Policy,,
"Minister for Civil Society, Nick Hurd",May 2011,HSBC,Big Society Policy,,
"Minister for Civil Society, Nick Hurd",May 2011,Worldwide Volunteering,Big Society Policy,,
"Minister for Civil Society, Nick Hurd",May 2011,RBS,Big Society Policy,,
"Minister for Civil Society, Nick Hurd",May 2011,United Way,Big Society Policy,,
"Minister for Civil Society, Nick Hurd",June 2011,Greg Mulholland MP and constituents,The Voluntary Sector within their Constituency,,
"Minister for Civil Society, Nick Hurd",June 2011,"Geordie Greig, Evening Standard",The Big Society Policy,,
"Minister for Civil Society, Nick Hurd",June 2011,Refuge,The Big Society Policy,,
"Minister for Civil Society, Nick Hurd",June 2011,Treejumpers,The Big Society Policy,,
"Minister for Civil Society, Nick Hurd",June 2011,Big Lottery Fund,The Big Society Policy,,
"Minister for Civil Society, Nick Hurd",June 2011,NCVO,The Big Society Policy,,
"Minister for Civil Society, Nick Hurd",June 2011,CIC Association,The Big Society Policy,,
"Minister for Civil Society, Nick Hurd",June 2011,Julian Smith MP and Constituents,The Voluntary Sector within their Constituency,,
"Minister for Civil Society, Nick Hurd",June 2011,Catch 22,The Big Society Policy,,
"Minister for Civil Society, Nick Hurd",June 2011,BITC and National Grid,The Big Society Policy,,
"Minister for Civil Society, Nick Hurd",June 2011,Martyn Rose,The Big Society Policy,,
"Minister for Civil Society, Nick Hurd",June 2011,Your Square Mile,The Big Society Policy,,
"Minister for Civil Society, Nick Hurd",June 2011,V-inspired,The Big Society Policy,,
"Minister for Civil Society, Nick Hurd",June 2011,Impetus,The Big Society Policy,,
"Minister for Civil Society, Nick Hurd",June 2011,"Everything, Everywhere",The Big Society Policy,,
"Minister for Civil Society, Nick Hurd",June 2011,ACEVO,The Big Society Policy,,
"Minister for Civil Society, Nick Hurd",June 2011,Big Issue,The Big Society Policy,,
"Minister for Civil Society, Nick Hurd",June 2011,Margaret Curuthas,The Big Society Policy,,
"Minister for Civil Society, Nick Hurd",June 2011,Joseph Rowntree Foundation,The Big Society Policy,,
"Minister for Civil Society, Nick Hurd",June 2011,New Philanthropy Capital,The Big Society Policy,,
"Minister for Civil Society, Nick Hurd",June 2011,Dr Michael Nussbaum,The Big Society Policy,,
"Minister for Civil Society, Nick Hurd",June 2011,Caroline Dineage MP and constituents,The Voluntary Sector within their Constituency,,
"Minister without Portfolio, The Rt Hon Baroness Warsi",April 2011,"Sailesh Ram, Eastern Eye",General Discussion,,
"Minister without Portfolio, The Rt Hon Baroness Warsi",May 2011,Faith Matters,Update on Charitable Work,,
"Minister without Portfolio, The Rt Hon Baroness Warsi",May 2011,National Association of Muslim Police,Introductory Meeting,,
"Minister without Portfolio, The Rt Hon Baroness Warsi",June 2011,Church of England,Discussion on religious minorities,,
,,,,,
