Name of Organisation
IPSA
localworks.org and Unlock Democracy
800th Magna Carta Anniversary
Spencer Stuart
TATA Consultancy Services
Parent Zone
Nisai Group
British Academy
Institute of Linguists Educational Trust
Oxfam
Acid Survivors Foundation
Free and Fair Election Network
Benazir Income Support Programme
Standard Chartered; HSBC India; Confederation of British Industry; Confederation of Indian Industry; Godrej Industries; IDFC Bank (Indian infrastructure investment body); Infosys; Polaris Financial Technology; TATA Consultancy Services; 3 main Indian Chambers of Commerce (CII; FICCI; ASOCCHAM)
Confederation of British Industry
