Minister,Month,Org,Purpose,Year
"Government Whip, Lord de Mauley",Jan-12,BioIndustry Association,General update,2012,./ministerial-data-cabinet-office/data/bmmeetingsjanmar2012.csv
"Government Whip, Baroness Northover",Feb-12,Save the Children,General update,2012,./ministerial-data-cabinet-office/data/bmmeetingsjanmar2012.csv
"Government Whip, Baroness Garden of Frognal",Jan-12,Nisai Virtual Academy,General update,2012,./ministerial-data-cabinet-office/data/bmmeetingsjanmar2012.csv
"Leader of the House of Commons, Lord Privy Seal, The Rt Hon Andrew Lansley MP",Jan,IPSA,Bilateral,2013,./ministerial-data-cabinet-office/data/bmmeetingsjanmar2013.csv
"Parliamentary Secretary, Deputy Leader of the House of Commons The Rt Hon Tom Brake MP",Mar,localworks.org and Unlock Democracy,To discuss recall of Parliament,2013,./ministerial-data-cabinet-office/data/bmmeetingsjanmar2013.csv
"Leader of the House of Lords, Lord Hill of Oareford",Feb,800th Magna Carta Anniversary,Discussion on Magna Carta celebration plans,2013,./ministerial-data-cabinet-office/data/bmmeetingsjanmar2013.csv
"Parliamentary Secretary to the Treasury and Chief Whip, The Rt Hon Sir George Young MP",Feb,Spencer Stuart,Lunch,2013,./ministerial-data-cabinet-office/data/bmmeetingsjanmar2013.csv
"Deputy Chief Whip (Captain of the Queen's Bodyguard of the Yeoman of the Guard, Lord Newby OBE",Feb,TATA Consultancy Services,to discuss the use of IT public service delivery,2013,./ministerial-data-cabinet-office/data/bmmeetingsjanmar2013.csv
"Lords Government Whip, Lady Garden of Frognal",Mar,Parent Zone,Discussion of a 'Parent Charter of Online Rights',2013,./ministerial-data-cabinet-office/data/bmmeetingsjanmar2013.csv
"Lords Government Whip, Lady Garden of Frognal",Mar,Nisai Group,Discussion of education hubs,2013,./ministerial-data-cabinet-office/data/bmmeetingsjanmar2013.csv
"Lords Government Whip, Lady Garden of Frognal",Mar,British Academy,General update discusson on arts policy,2013,./ministerial-data-cabinet-office/data/bmmeetingsjanmar2013.csv
"Lords Government Whip, Lady Garden of Frognal",Mar,Institute of Linguists Educational Trust,Discussion of cross-departmental modern language provision,2013,./ministerial-data-cabinet-office/data/bmmeetingsjanmar2013.csv
"Lords Government Whip, Lady Northover",Jan,Oxfam,To discuss development policy,2013,./ministerial-data-cabinet-office/data/bmmeetingsjanmar2013.csv
"Lords Government Whip, Lady Northover",Feb,Acid Survivors Foundation,To discuss the work of the organisation which receives DfID grants,2013,./ministerial-data-cabinet-office/data/bmmeetingsjanmar2013.csv
"Lords Government Whip, Lady Northover",Feb,Free and Fair Election Network,To discuss the work being done in Pakistan to encourage women to vote,2013,./ministerial-data-cabinet-office/data/bmmeetingsjanmar2013.csv
"Lords Government Whip, Lady Northover",Feb,Benazir Income Support Programme,Discussion to reaffirm the Government's commitment to social protection in Pakistan and emphasise the importance of transparency in beneficiary targeting and payment mechanisms,2013,./ministerial-data-cabinet-office/data/bmmeetingsjanmar2013.csv
"Lords Government Whip, Lord Popat",Feb,Standard Chartered; HSBC India; Confederation of British Industry; Confederation of Indian Industry; Godrej Industries; IDFC Bank (Indian infrastructure investment body); Infosys; Polaris Financial Technology; TATA Consultancy Services; 3 main Indian Chambers of Commerce (CII; FICCI; ASOCCHAM),Discussions on a range of UK/Indian business issues,2013,./ministerial-data-cabinet-office/data/bmmeetingsjanmar2013.csv
"Lords Government Whip, Lord Wallace of Saltaire",Mar,Confederation of British Industry,Discussion of the work of the balance of competencies ministerial committee,2013,./ministerial-data-cabinet-office/data/bmmeetingsjanmar2013.csv
"Leader of the House of Commons and Lord Privy Seal, The Rt Hon Andrew Lansley MP",July,IPSA,Regular update phone call,2013,./ministerial-data-cabinet-office/data/bmmeetingsjulsep2013.csv
"Leader of the House of Commons and Lord Privy Seal, The Rt Hon Andrew Lansley MP",September,NCVO,Regulation of non-party campaigning,2013,./ministerial-data-cabinet-office/data/bmmeetingsjulsep2013.csv
"Leader of the House of Commons and Lord Privy Seal, The Rt Hon Andrew Lansley MP",September,IPSA,Meeting with the Board,2013,./ministerial-data-cabinet-office/data/bmmeetingsjulsep2013.csv
"Leader of the House of Commons and Lord Privy Seal, The Rt Hon Andrew Lansley MP",September,NCVO,"Discussion about Transparency of Lobbying, Non-Party Campaigning and Trade Union Administration Bill",2013,./ministerial-data-cabinet-office/data/bmmeetingsjulsep2013.csv
"Leader of the House of Commons and Lord Privy Seal, The Rt Hon Andrew Lansley MP",September,Electoral Commission,"Part 2 of the Transparency of Lobbying, Non-Party Campaigning and Trade Union Administration Bill",2013,./ministerial-data-cabinet-office/data/bmmeetingsjulsep2013.csv
"Leader of the House of Commons and Lord Privy Seal, The Rt Hon Andrew Lansley MP",September,ACEVO,"Part 2 of the Transparency of Lobbying, Non-Party Campaigning and Trade Union Administration Bill",2013,./ministerial-data-cabinet-office/data/bmmeetingsjulsep2013.csv
"Leader of the House of Commons and Lord Privy Seal, The Rt Hon Andrew Lansley MP",September,"ACVO, NCVO, Representative of the Gibraltar Government","Part 1 and Part 2 of the Transparency of Lobbying, Non-Party Campaigning and Trade Union Administration Bill",2013,./ministerial-data-cabinet-office/data/bmmeetingsjulsep2013.csv
"Parliamentary Secretary, Deputy Leader of the House of Commons, Rt Hon Tom Brake MP",July,"Lobbying industry and transparency groups roundtable: APPC, PRCA, CIPR, UKPAC, CAFOD, NCVO, CBI, SpinWatch, Unlock Democracy","Discussion of the definition of a consultant lobbyist; reporting ministerial meetings and the proposed register in Transparency of Lobbying, Non-Party Campaigning and Trade Union Administration Bill",2013,./ministerial-data-cabinet-office/data/bmmeetingsjulsep2013.csv
"Parliamentary Secretary, Deputy Leader of the House of Commons, Rt Hon Tom Brake MP",September,NCVO,Regulation of non-party campaigning,2013,./ministerial-data-cabinet-office/data/bmmeetingsjulsep2013.csv
"Parliamentary Secretary, Deputy Leader of the House of Commons, Rt Hon Tom Brake MP",September,UKPAC,Regulation of Lobbying,2013,./ministerial-data-cabinet-office/data/bmmeetingsjulsep2013.csv
"Parliamentary Secretary, Deputy Leader of the House of Commons, Rt Hon Tom Brake MP",September,Oxfam,Oxfam's campaigns on food and climate change and tax transparency and transparency bill,2013,./ministerial-data-cabinet-office/data/bmmeetingsjulsep2013.csv
"Parliamentary Secretary, Deputy Leader of the House of Commons, Rt Hon Tom Brake MP",September,Guide Dogs; Prostate Cancer UK; Campaign for Better Transport,"Transparency of Lobbying, Non-Party Campaigning and Trade Union Administration Bill",2013,./ministerial-data-cabinet-office/data/bmmeetingsjulsep2013.csv
"Parliamentary Secretary, Deputy Leader of the House of Commons, Rt Hon Tom Brake MP",September,Fairtrade Foundation,Transparency Bill and Fairtrade Foundation's strategy,2013,./ministerial-data-cabinet-office/data/bmmeetingsjulsep2013.csv
"Parliamentary Secretary, Deputy Leader of the House of Commons, Rt Hon Tom Brake MP",September,Action for Hearing Loss; ACEVO; Countryside Alliance; Royal British Legion,"Transparency of Lobbying, Non-Party Campaigning and Trade Union Administration Bill",2013,./ministerial-data-cabinet-office/data/bmmeetingsjulsep2013.csv
"Parliamentary Secretary, Deputy Leader of the House of Commons, Rt Hon Tom Brake MP",September,RES,Energy Bill,2013,./ministerial-data-cabinet-office/data/bmmeetingsjulsep2013.csv
"Parliamentary Secretary, Deputy Leader of the House of Commons, Rt Hon Tom Brake MP",September,4Children,Transparency Bill and childcare issues,2013,./ministerial-data-cabinet-office/data/bmmeetingsjulsep2013.csv
"Parliamentary Secretary, Deputy Leader of the House of Commons, Rt Hon Tom Brake MP",September,British Heart Foundation; Guide; Board of Deputies of British Jews,"Transparency of Lobbying, Non-Party Campaigning and Trade Union Administration Bill",2013,./ministerial-data-cabinet-office/data/bmmeetingsjulsep2013.csv
"Parliamentary Secretary, Deputy Leader of the House of Commons, Rt Hon Tom Brake MP",September,L+Q,House building and Tranparency Bill,2013,./ministerial-data-cabinet-office/data/bmmeetingsjulsep2013.csv
"Parliamentary Secretary, Deputy Leader of the House of Commons, Rt Hon Tom Brake MP",September,MIND,Transparency Bill and mental health issues,2013,./ministerial-data-cabinet-office/data/bmmeetingsjulsep2013.csv
"Parliamentary Secretary, Deputy Leader of the House of Commons, Rt Hon Tom Brake MP",September,Optical Confederation,Transparency Bill and eye care,2013,./ministerial-data-cabinet-office/data/bmmeetingsjulsep2013.csv
"Parliamentary Secretary, Deputy Leader of the House of Commons, Rt Hon Tom Brake MP",September,CSPL,Seminar on lobbying,2013,./ministerial-data-cabinet-office/data/bmmeetingsjulsep2013.csv
"Parliamentary Secretary, Deputy Leader of the House of Commons, Rt Hon Tom Brake MP",September,Christian Aid and CAFOD,"Charities and regulation of non-party campaigning in Transparency of Lobbying, Non-Party Campaigning and Trade Union Administration Bill",2013,./ministerial-data-cabinet-office/data/bmmeetingsjulsep2013.csv
"Parliamentary Secretary, Deputy Leader of the House of Commons, Rt Hon Tom Brake MP",September,Hope not Hate,Regulation of non-party campaigning,2013,./ministerial-data-cabinet-office/data/bmmeetingsjulsep2013.csv
"Parliamentary Secretary, Deputy Leader of the House of Commons, Rt Hon Tom Brake MP",September,ACEVO,"Part 2 of the Transparency of Lobbying, Non-Party Campaigning and Trade Union Administration Bill",2013,./ministerial-data-cabinet-office/data/bmmeetingsjulsep2013.csv
"Leader of the House of Lords, Lord Hill of Oareford CBE",July,The Daily Telegraph,General discussion,2013,./ministerial-data-cabinet-office/data/bmmeetingsjulsep2013.csv
"Government Whip (Lords), Lord Ahmad of Wimbledon",July,London South Bank University,Introduction to the work of the university and it's plans for the future ,2013,./ministerial-data-cabinet-office/data/bmmeetingsjulsep2013.csv
"Government Whip (Lords), Lord Ahmad of Wimbledon",July,Head of Bahais in the UK,Discussion of persecution in Iran,2013,./ministerial-data-cabinet-office/data/bmmeetingsjulsep2013.csv
"Government Whip (Lords), Lord Ahmad of Wimbledon",September,British-Turkey Chamber of Commerce,Introductory discussion,2013,./ministerial-data-cabinet-office/data/bmmeetingsjulsep2013.csv
"Government Whip (Lords), Baroness Garden of Frognal",July,Federation for Industry Sector Skills and Standards,Discussion of apprenticeships,2013,./ministerial-data-cabinet-office/data/bmmeetingsjulsep2013.csv
"Government Whip (Lords), Baroness Garden of Frognal",July,Communication Trust,Discussion of the early identification of poor communication in children,2013,./ministerial-data-cabinet-office/data/bmmeetingsjulsep2013.csv
"Government Whip (Lords), Lord Newby",July,Cooperative Group,Discussed the future of the Co-op bank,2013,./ministerial-data-cabinet-office/data/bmmeetingsjulsep2013.csv
"Government Whip (Lords), Lord Newby",July,HSBC Bank,Discussion on recent developments at the bank and the economy,2013,./ministerial-data-cabinet-office/data/bmmeetingsjulsep2013.csv
"Government Whip (Lords), Lord Newby",July,Vocalink,Discussion on the efforts of the Banking Reform Bill,2013,./ministerial-data-cabinet-office/data/bmmeetingsjulsep2013.csv
"Government Whip (Lords), Lord Newby",September,CUNA,Discussion of financial aspects of the housing market,2013,./ministerial-data-cabinet-office/data/bmmeetingsjulsep2013.csv
"Government Whip (Lords), Lord Newby",September,Start Up Europe,Discussion on the digital economy,2013,./ministerial-data-cabinet-office/data/bmmeetingsjulsep2013.csv
"Government Whip (Lords), Lord Popat of Harrow",July,City Hindus Network,Discussion of the work of the Hindu Forum of Britain,2013,./ministerial-data-cabinet-office/data/bmmeetingsjulsep2013.csv
"Government Whip (Lords), Baroness Stowell of Beeston",July,Platform 51,Discussion on young women's issues,2013,./ministerial-data-cabinet-office/data/bmmeetingsjulsep2013.csv
