Minister,Month,Org,Purpose,Year
"Commons Government Whip, The Rt Hon Mark Francois, Vice-Chamberlain of HM Household",Sep-2011,London Reserve forces ,To discuss servicing cadet forces in schools ,,./ministerial-data-cabinet-office/data/bmsmeetingsmedia_0.csv
"Commons Government Whip,  Philip Dunne MP",Sep-2011,Federation of Small Business,Review their proposals to reduce Regulation burden on business,,./ministerial-data-cabinet-office/data/bmsmeetingsmedia_0.csv
"Commons Government Whip,  Philip Dunne MP",Sep-2011,Retail Motor Industry Association,Meeting to discuss business rates at petrol stations,,./ministerial-data-cabinet-office/data/bmsmeetingsmedia_0.csv
"Earl Attlee, Government Whip (Lords)",Jul-2011,"GLA, LGA, ICE",Localism Bill,,./ministerial-data-cabinet-office/data/bmsmeetingsmedia_0.csv
"Earl Attlee, Government Whip (Lords)",Sep-2011,Gatwick Airport ,Gatwick investment programme,,./ministerial-data-cabinet-office/data/bmsmeetingsmedia_0.csv
"Baroness Garden of Frognal, Government Whip (Lords)",Jul-2011,British Horseracing Authority,General discussion,,./ministerial-data-cabinet-office/data/bmsmeetingsmedia_0.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP ","August, 2010 ",Atos ,Contract Renegotiation ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP ","August, 2010 ",Cyberpac ,Introductory meeting ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP ","August, 2010 ",Institute for Government ,learning and development in Government,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP ","August, 2010 ",Steria ,Contract Renegotiation ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP ","August, 2010 ",Captia ,Contract Renegotiation ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP ","August, 2010 ",Oracle ,Contract Renegotiation ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP ","August, 2010 ",Siemans ,Contract Renegotiation ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP ","August, 2010 ",Hewlett Packard ,Contract Renegotiation ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP ","August, 2010 ",Computer Sciences Corporation ,Contract Renegotiation ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP ","August, 2010 ",Accenture ,Contract Renegotiation ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP ","August, 2010 ",David Macleod ,Efficiency and Reform in Government ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP ","August, 2010 ",IBM,Contract Renegotiation ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP ","August, 2010 ",John Lewis ,Mutualisation Agenda ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP ","August, 2010 ",Vodafone ,Contract Renegotiation ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP ","August, 2010 ",Logica ,Contract Renegotiation ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP ","August, 2010 ",Serco ,Contract Renegotiation ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP ","August, 2010 ",G4S,Contract Renegotiation ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP ","September, 2010 ",Serco ,Contract Renegotiation ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP ","September, 2010 ",UN Special Envoy on Malaria,Big Society Seminar,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP ","September, 2010 ",Oxfam,Introductory meeting ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP ","September, 2010 ",Jonathan Bland ,Social Enterprise ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP ","September, 2010 ",CCSU ,Civil Service Compensation Scheme ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP ","September, 2010 ",Merseyside Fire Brigade ,Introductory meeting ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP ","September, 2010 ",Rothschild ,Introductory meeting ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP ","September, 2010 ",Experian ,Introductory meeting ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP ","September, 2010 ",Amazon ,Introductory meeting ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP ","September, 2010 ",Wipro ,Contract Renegotiation ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP ","September, 2010 ",British Banking Association,Big Society Agenda ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP ","September, 2010 ",GEMS UK ,Mutualisation Agenda ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP ","September, 2010 ",Big Society Network ,Big Society Agenda ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP ","September, 2010 ","Cooperatives UK, Employee Ownership Association, Cooperative college, Social Enterprise coalition, Plunkett foundation, Office of Public Management, Foundation Trust Network, Mutuo",Mutualisation Agenda ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP ","September, 2010 ",KPMG ,Reform Proposals ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP ","September, 2010 ",Fujitsu ,Contract Renegotiation ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP ","September, 2010 ",Mark Riley ,Big Society Agenda and digital ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP ","September, 2010 ",Institute for Government ,Learning and development in Government ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP ","September, 2010 ",CSCU ,Civil Service Compensation Scheme ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP ","September, 2010 ",Central Surrey Health ,Mutualisation Agenda ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP","August, 2010 ",Sustainable Development Commission,Sustainable Development ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP","August, 2010 ",BBC,BBC Radio ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP","August, 2010 ",Green Alliance ,Energy ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP","August, 2010 ",Greenpeace ,Climate and Environment ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP","August, 2010 ",Canine Health Concern ,Animal Health ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP","August, 2010 ",Equitable Members Action Group ,Equitable Life ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP","August, 2010 ",Sir Iqbal Sacranie ,Community cohesion ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP","August, 2010 ",UKAS ,Accreditation Services ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP","August, 2010 ",Royal Commission on Environmental Pollution ,Environment ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP","August, 2010 ",Newcastle University ,Sustainable Development ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP","September, 2010 ",London School of Economics and Institute of Psychiatry,Improving access to psycological therapies ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP","September, 2010 ",Addiction Today ,Drug Rehabilitation ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP","September, 2010 ",RSPB,Planning and Natural Environment White Paper ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP","September, 2010 ",Localis ,Local Government and localism ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP","September, 2010 ",The Community Foundation ,Big Society Agenda ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP","September, 2010 ",Big Society Network ,Big Society Agenda ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP","September, 2010 ",Equitable Life ,Equitable Life ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP","September, 2010 ",South West Water,Flood Defences,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP","September, 2010 ",Lord Levene ,Defence ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP","September, 2010 ",Renewables UK ,Renewable Energy ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Parliamentary Secretary (Minister for Political and Constitutional Reform), Mark Harper MP","August, 2010 ",Electoral Commission ,General meeting ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP ","August, 2010 ",Youthnet,Introductory meeting ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP ","September, 2010 ","National Assocation for Voluntary and Community Action (NAVCA), Community Action Derby, Greater Manchester Centre for Voluntary Organisation, Cornwall Voluntary Sector Forum, Community Action Hampshire, Sefton CVS, Birmingham VSC, Thurrock CVS, CommUNITY Barnet",Roundtable Discussion ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP ","September, 2010 ",UN Special Envoy on Malaria,Big Socety Seminar ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP ","September, 2010 ",Adults facing Chronic Exclusion (ACE),General Meeting ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP ","September, 2010 ",Cambridge House ,General Meeting ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP ","September, 2010 ",Compact Voice ,Board Meeting,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP ","September, 2010 ",Third Sector Research Centre,Introductory meeting ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP ","September, 2010 ",Community Service Volunteers (CSV),Introductory meeting ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP ","September, 2010 ",Co-op Financial Services ,Big Society Agenda ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP ","September, 2010 ",Community Development Foundation ,Introductory meeting ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP ","September, 2010 ",British Banking Association,Big Society Agenda ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP ","September, 2010 ","Bassac, Big Lottery Fund, British Trust for Conservation Volunteers, Church Action on Pverty, Citizens UK, Community Development Exchange, Community Development Foundation, Community Matters, Development Trusts Association, Federation of Community Development Learning, Kings College London, Neighbours United, Nesta, North West Community Activist Network, Big Society Network, Regenerate, School for Special Entrepeneurs, Timebanking UK, Urban Forum, Will Perrin, National Association for Voluntary and Community Action (NAVCA).  ",Roundtable Discussion ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP ","September, 2010 ",Chartered Institute of Taxation ,Meeting on Gift Aid ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister without Portfolio, The Rt Hon Baroness Warsi","September, 2010 ",Salman Ahmad ,International issues ,2010,./ministerial-data-cabinet-office/data/co-meetings-aug-sept-2010.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",April 2011,CBI,Introductory ,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",April 2011,Public Sector Employers,Regular Forum,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",April 2011,Trades Unions,Pensions Discussion Meetings,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",April 2011,Royal National Orthopaedic Hospital,Mutual structures ,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",April 2011,Citi Group,General Discussion ,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",April 2011,Akabusi Company and Action for Children,Big Society ,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",April 2011,The Engine Group,Big Society,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",May 2011,Wipro ,Introductory,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",May 2011,John Laing plc,PFI ,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",May 2011,Marie Curie Cancer ,Philanthropy,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",May 2011,Trades Unions,Pensions Discussion Meetings,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",May 2011,Tata Consulting Services ,Introductory ,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",May 2011,Corven ,Mutuals,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",May 2011,Co-op ,Employee Ownership,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",May 2011,Serco ,Supplier Management ,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",May 2011,HSBC ,Big Society Bank,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",May 2011,RBS ,Big Society Bank,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",June 2011,EFP Capital ,Procurement,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",June 2011,National Federation of Sub Post Masters ,General discussion,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",June 2011,Trades Unions,Pensions Discussion Meetings ,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",June 2011,"UKSA, ONS, Experian, Barclays, John Lewis, RSS, Perception BI, ESRC, LGA",Census,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",June 2011,National Association of Head Teachers,Introductory ,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",April 2011,International Consortium of British Pensioners,Overseas Pensions,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",April 2011,"Royal Society for the Protection of Birds, Campaign for Protection of Rural England, Plant Life, Wildlife and Countryside Link, Wildlife Trust",Natural Environment White Paper,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",April 2011,Shell,Gas and Energy,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",April 2011,Forum for the Future,Forests,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",April 2011,Royal Society for the Protection of Birds,Planning,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",April 2011,Centre for Policy Studies,General Catch-up,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",April 2011,Shell,Follow-up Gas and Energy meeting,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",May 2011,Mary Ward Legal Centre,Legal Aid Reform,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",May 2011,Trades Union Congress,Public Service modernisation,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",May 2011,Communication Workers Union,Royal Mail,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",May 2011,Scottish and Southern Energy,Energy,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",May 2011,Trades Union Congress,Public Service modernisation,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",May 2011,Law Centres Federation,Legal Aid Reform,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",May 2011,CBI,Energy & Red Tape Challenge,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",May 2011,Reform,Public Service modernisation,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",May 2011,Peter Bareau & Simon Hall,NHS Reforms,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",May 2011,South West Water,Water,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",May 2011,Full Time Mothers,Income Splitting,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",May 2011,BP,Engineering,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",May 2011,Poyry,Energy,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",May 2011,Lloyds Banking Group,Banking,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",May 2011,National Farmers Union,Planning,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",June 2011,Trades Union Congress,Public Service modernisation,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",June 2011,Charterhouse Capital Partners Ltd,Bio-products,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",June 2011,Bishop Nazir-Ali,General discussion,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",June 2011,Iberdrola,Energy,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",June 2011,Poyry,Energy,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",June 2011,Sancroft International Limited,Environment,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",June 2011,Iberdrola,Energy,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",June 2011,Save the Children,Child poverty,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",June 2011,"The Work Foundation, CentreForum, Demos, Respublica, IPPR, Reform, New Economics Foundation, Policy Exchange, Localis, Centre for Cities, Politeia",Public Service modernisation,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",June 2011,Royal Academy of Engineering,Engineering,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",June 2011,EDF Energy,Energy,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",June 2011,National Grid,Electricity Market reform,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",June 2011,Brickcourt Chambers,Green Paper on Justice and Security,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for Civil Society, Nick Hurd",April 2011,ACEVO,Big Society Policy,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for Civil Society, Nick Hurd",April 2011,NCVO,Big Society Policy,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for Civil Society, Nick Hurd",April 2011,NAVCA,Big Society Policy,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for Civil Society, Nick Hurd",April 2011,Social Enterprise Coalition,Big Society Policy,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for Civil Society, Nick Hurd",April 2011,Community Matters,Big Society Policy,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for Civil Society, Nick Hurd",April 2011,Locality,Big Society Policy,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
