example_id                                                          | status  | run_time        |
./spec/models/influence_office_person_spec.rb[1:2]                  | passed  | 0.00137 seconds |
./spec/models/influence_office_person_spec.rb[1:3]                  | passed  | 0.006 seconds   |
./spec/models/influence_office_person_spec.rb[1:4]                  | passed  | 0.00127 seconds |
./spec/models/influence_office_person_spec.rb[1:5]                  | passed  | 0.00129 seconds |
./spec/models/influence_office_person_spec.rb[1:6]                  | passed  | 0.00215 seconds |
./spec/models/influence_office_person_spec.rb[1:7]                  | passed  | 0.00162 seconds |
./spec/models/influence_office_person_spec.rb[1:8]                  | passed  | 0.00156 seconds |
./spec/models/influence_office_person_spec.rb[2:1]                  | passed  | 0.01004 seconds |
./spec/models/influence_office_person_spec.rb[2:2]                  | passed  | 0.00131 seconds |
./spec/models/influence_office_person_spec.rb[3:1]                  | passed  | 0.00148 seconds |
./spec/models/influence_office_person_spec.rb[3:2]                  | passed  | 0.01654 seconds |
./spec/models/means_of_influence_spec.rb[1:1]                       | passed  | 0.00131 seconds |
./spec/models/means_of_influence_spec.rb[1:2]                       | passed  | 0.0009 seconds  |
./spec/models/means_of_influence_spec.rb[1:3]                       | passed  | 0.00119 seconds |
./spec/models/means_of_influence_spec.rb[1:4]                       | passed  | 0.00084 seconds |
./spec/models/means_of_influence_spec.rb[1:5]                       | passed  | 0.00358 seconds |
./spec/models/means_of_influence_spec.rb[1:6]                       | passed  | 0.00341 seconds |
./spec/models/means_of_influence_spec.rb[1:7]                       | passed  | 0.00122 seconds |
./spec/models/means_of_influence_spec.rb[1:8]                       | passed  | 0.00128 seconds |
./spec/models/means_of_influence_spec.rb[1:9]                       | passed  | 0.0013 seconds  |
./spec/models/means_of_influence_spec.rb[1:10]                      | passed  | 0.00248 seconds |
./spec/models/means_of_influence_spec.rb[1:11]                      | passed  | 0.00126 seconds |
./spec/models/means_of_influence_spec.rb[1:12]                      | passed  | 0.00149 seconds |
./spec/models/means_of_influence_spec.rb[2:1]                       | passed  | 0.02215 seconds |
./spec/models/means_of_influence_spec.rb[2:2]                       | passed  | 0.03375 seconds |
./spec/models/means_of_influence_spec.rb[3:1]                       | passed  | 0.00138 seconds |
./spec/models/means_of_influence_spec.rb[3:2]                       | passed  | 0.01507 seconds |
