Meeting ID,Minister,Role,Department,Start Date,End Date,Organization,Representative,Reason,Hospitality?
217,Air Marshall Stephen Hillier,Cap DCDS-Personal,Ministry of Defence,2013-09,2013-09,Thales,,Update on current and emerging projects with these organisations (during DSEI),0
217,Air Marshall Stephen Hillier,Cap DCDS-Personal,Ministry of Defence,2013-09,2013-09,Finmeccanica,,Update on current and emerging projects with these organisations (during DSEI),0
218,Peter Worrall SCS3,DES CofM JE-COM JE,Ministry of Defence,2013-07-08,2013-07-08,BAE Systems,,Industry Workshop Dinner,1
219,Peter Worrall SCS3,DES CofM JE-COM JE,Ministry of Defence,2013-07-09,2013-07-09,BAE Systems,,Industry Workshop Working Lunch,1
220,Peter Worrall SCS3,DES CofM JE-COM JE,Ministry of Defence,2013-07-20,2013-07-20,BAE Systems,,Lunch & refreshments at RIAT,1
221,Lt Gen Chris Deverell,CofM Land-COM Land,Ministry of Defence,2013-07-10,2013-07-10,BAE Systems,,Dinner,1
221,Lt Gen Chris Deverell,CofM Land-COM Land,Ministry of Defence,2013-07-10,2013-07-10,MBDA,,Dinner,1
221,Lt Gen Chris Deverell,CofM Land-COM Land,Ministry of Defence,2013-07-10,2013-07-10,Qinetiq,,Dinner,1
222,"Bollom, Simon AM",DES CofM Air-COM Air,Ministry of Defence,2013-07-16,2013-07-16,BAE Systems,,Chief of Air Staffs Power Conference Dinner,1
223,"Bollom, Simon AM",DES CofM Air-COM Air,Ministry of Defence,2013-07-17,2013-07-17,BAE Systems,,Royal Academy of Engineering Dinner,1
224,Air Marshall Stephen Hillier,FMC-DCDS (Mil Cap)-Personal,Ministry of Defence,2013-08-30,2013-08-30,BAE Systems,,Lunch (during visit to company site),1
225,Air Marshall Stephen Hillier,FMC-DCDS (Mil Cap)-Personal,Ministry of Defence,2013-09-15,2013-09-15,BAE Systems,,Lunch,1
226,Andrew Manley SCS,DIO-CE,Ministry of Defence,2013-07-20,2013-07-20,BAE Systems,,Lunch & Dinner,1
227,Lt Gen Chris Deverell,CofM Land-COM Land,Ministry of Defence,2013-10,2013-10,BAE Systems,,BAES Portfolio,0
228,Lt Gen Chris Deverell,CofM Land-COM Land,Ministry of Defence,2013-10,2013-10,BAE Systems,,BAES Portfolio,0
229,Lt Gen Chris Deverell,CofM Land-COM Land,Ministry of Defence,2013-11,2013-11,BAE Systems,,BAES Portfolio,0
230,"Bollom, Simon AM",DES CofM Air-COM Air,Ministry of Defence,2013-12,2013-12,BAE Systems,,F-35 Update,0
231,Vice Admiral Andrew Mathews,DES CofM Fleet-COM Fleet,Ministry of Defence,2013-10,2013-10,BAE Systems,,Shipbuilding Negotiation,0
231,Vice Admiral Andrew Mathews,DES CofM Fleet-COM Fleet,Ministry of Defence,2013-10,2013-10,Babcock,,Shipbuilding Negotiation,0
231,Vice Admiral Andrew Mathews,DES CofM Fleet-COM Fleet,Ministry of Defence,2013-10,2013-10,Thales,,Shipbuilding Negotiation,0
232,Admiral Sir George Zambellas,Chief of the Navel Staff,Ministry of Defence,2013-10,2013-10,BAE Systems,,Defence Discussion,0
233,Admiral Sir George Zambellas,Chief of the Navel Staff,Ministry of Defence,2013-11,2013-11,BAE Systems,,Day visit,0
234,Rt Hon William Hague,Foreign Secretary,Foreign & Commonwealth Office,2011-04,2011-04,Rio Tinto,,To discuss commercial opportunities overseas for UK business (Multinational Chairman's Group),0
234,Rt Hon William Hague,Foreign Secretary,Foreign & Commonwealth Office,2011-04,2011-04,AstraZeneca,,To discuss commercial opportunities overseas for UK business (Multinational Chairman's Group),0
234,Rt Hon William Hague,Foreign Secretary,Foreign & Commonwealth Office,2011-04,2011-04,Diageo,,To discuss commercial opportunities overseas for UK business (Multinational Chairman's Group),0
234,Rt Hon William Hague,Foreign Secretary,Foreign & Commonwealth Office,2011-04,2011-04,Vodafone,,To discuss commercial opportunities overseas for UK business (Multinational Chairman's Group),0
234,Rt Hon William Hague,Foreign Secretary,Foreign & Commonwealth Office,2011-04,2011-04,Glaxosmithkline,,To discuss commercial opportunities overseas for UK business (Multinational Chairman's Group),0
234,Rt Hon William Hague,Foreign Secretary,Foreign & Commonwealth Office,2011-04,2011-04,Shell,,To discuss commercial opportunities overseas for UK business (Multinational Chairman's Group),0
234,Rt Hon William Hague,Foreign Secretary,Foreign & Commonwealth Office,2011-04,2011-04,HSBC,,To discuss commercial opportunities overseas for UK business (Multinational Chairman's Group),0
234,Rt Hon William Hague,Foreign Secretary,Foreign & Commonwealth Office,2011-04,2011-04,BAE Systems,,To discuss commercial opportunities overseas for UK business (Multinational Chairman's Group),0
235,Rt Hon William Hague,Foreign Secretary,Foreign & Commonwealth Office,2011-11,2011-11,BAE Systems,,To discuss commercial opportunities overseas,0
236,Jeremy Browne MP,Minister of State,Foreign & Commonwealth Office,2011-12,2011-12,Standard Chartered Bank,,To discuss UK business in Philippines/Indonesia/Singapore,0
236,Jeremy Browne MP,Minister of State,Foreign & Commonwealth Office,2011-12,2011-12,Jardine Matheson,,To discuss UK business in Philippines/Indonesia/Singapore,0
236,Jeremy Browne MP,Minister of State,Foreign & Commonwealth Office,2011-12,2011-12,Cleveland Bridge UK,,To discuss UK business in Philippines/Indonesia/Singapore,0
237,Jeremy Browne MP,Minister of State,Foreign & Commonwealth Office,2011-12,2011-12,Diageo,,To discuss UK business in Philippines/Indonesia/Singapore,0
238,Jeremy Browne MP,Minister of State,Foreign & Commonwealth Office,2011-12,2011-12,BAE Systems,,To discuss UK business in Philippines/Indonesia/Singapore,0
239,Jeremy Browne MP,Minister of State,Foreign & Commonwealth Office,2011-12,2011-12,British Business Council,,To discuss UK business in Philippines/Indonesia/Singapore,0
240,Jeremy Browne MP,Minister of State,Foreign & Commonwealth Office,2011-12,2011-12,Singapore British Business Council,,To discuss UK business in Philippines/Indonesia/Singapore,0
241,Rt Hon Philip Hammond MP,Secretary of State for Defence,Ministry of Defence,2014-03-13,2014-03-13,BAE Systems,,Return flight to BAE Systems Barrow,1
242,Dr Andrew Murrison MP,Minister for International Security Strategy,Ministry of Defence,2014-01-20,2014-01-20,BAE Systems,,"Industry, Dinner",1
242,Dr Andrew Murrison MP,Minister for International Security Strategy,Ministry of Defence,2014-01-20,2014-01-20,MBDA,,"Industry, Dinner",1
242,Dr Andrew Murrison MP,Minister for International Security Strategy,Ministry of Defence,2014-01-20,2014-01-20,Agusta Westland,,"Industry, Dinner",1
242,Dr Andrew Murrison MP,Minister for International Security Strategy,Ministry of Defence,2014-01-20,2014-01-20,SELEX ES,,"Industry, Dinner",1
242,Dr Andrew Murrison MP,Minister for International Security Strategy,Ministry of Defence,2014-01-20,2014-01-20,SSTL,,"Industry, Dinner",1
243,Sir Jeremy Heywood,Cabinet Secretary,Cabinet Office,2014-02,2014-02,BAE Systems,,Discussion on Defence Exports,0
244,Sir Jeremy Heywood,Cabinet Secretary,Cabinet Office,2014-03,2014-03,BAE Systems,,Discussion on Business and Skills issues,0
245,Simon Fraser,Permanent Secretary,Foreign & Commonwealth Office,2014-02,2014-02,BAE Systems,,Commercial Diplomacy and Procurement,0
246,Andrew Mathews,DES CofM Fleet-COM Fleet,Ministry of Defence,2013-06-12,2013-06-12,BAE Systems,,Dinner,1
247,Lt Gen Chris Deverell,CofM Land-COM Land,Ministry of Defence,2013-04-17,2013-04-17,BAE Systems,,Dinner,1
248,Lt Gen Chris Deverell,CofM Land-COM Land,Ministry of Defence,2013-04-22,2013-04-22,BAE Systems,,Dinner,1
249,"Bollom, Simon AM",DES CofM Air-COM Air,Ministry of Defence,2013-04-22,2013-04-22,BAE Systems,,Working Dinner Meeting with Company Representatives,1
250,"Bollom, Simon AM",DES CofM Air-COM Air,Ministry of Defence,2013-04-23,2013-04-23,BAE Systems,,Air Force Board 95th Anniversary sponsored by BAE and Rolls Royce,1
251,"Bollom, Simon AM",DES CofM Air-COM Air,Ministry of Defence,2013-06-05,2013-06-05,BAE Systems,,Light lunch and refreshments as part of a official visit to BAE Warton,1
